,Mintimes,Mintypes,Errors,Units,Data_group,Ecorr,OC,Weights
0,2454531.947055,0.0,1.5e-05,,Literature,-6676.0,-1.750420778989792e-05,4444444444.444445
1,2454532.917675,0.0,1.5e-05,,Literature,-6670.0,-2.017989754676819e-05,4444444444.444445
2,2454535.991285,0.0,1.5e-05,,Literature,-6651.0,-4.865415394306183e-05,4444444444.444445
3,2454536.961895,0.0,1.5e-05,,Literature,-6645.0,-6.13299198448658e-05,4444444444.444445
4,2454554.918436,0.0,1.5e-05,,Literature,-6534.0,-3.983592614531517e-05,4444444444.444445
5,2454568.830696,0.0,1.5e-05,,Literature,-6448.0,-3.819214180111885e-05,4444444444.444445
6,2454569.963026,0.0,1.5e-05,,Literature,-6441.0,-0.00010131392627954483,4444444444.444445
7,2454582.904736,0.0,1.5e-05,,Literature,-6361.0,-2.6993919163942337e-05,4444444444.444445
8,2454583.875346,0.0,1.5e-05,,Literature,-6355.0,-3.9670150727033615e-05,4444444444.444445
9,2454639.686207,0.0,1.5e-05,,Literature,-6010.0,1.7459969967603683e-05,4444444444.444445
12,2454918.901895,0.0,1.5e-05,,Literature,-4284.0,-8.433591574430466e-05,4444444444.444445
15,2454979.080536,0.0,1e-05,,Literature,-3912.0,-4.9248337745666504e-05,9999999999.999998
16,2454979.080536,0.0,1e-05,,Literature,-3912.0,-4.9248337745666504e-05,9999999999.999998
18,2454985.066036,0.0,2e-05,,Literature,-3875.0,-5.575036630034447e-05,2499999999.9999995
19,2454985.066016,0.0,2e-05,,Literature,-3875.0,-7.575005292892456e-05,2499999999.9999995
20,2454994.125157,0.0,2e-05,,Literature,-3819.0,-7.972586899995804e-05,2499999999.9999995
21,2455000.110657,0.0,1e-05,,Literature,-3782.0,-8.622836321592331e-05,9999999999.999998
22,2455001.081387,0.0,2e-05,,Literature,-3776.0,2.109585329890251e-05,2499999999.9999995
23,2455015.155297,0.0,3e-05,,Literature,-3689.0,-9.770598262548447e-05,1111111111.1111112
24,2455016.125957,0.0,3e-05,,Literature,-3683.0,-6.038183346390724e-05,1111111111.1111112
25,2455023.082147,0.0,2e-05,,Literature,-3640.0,4.3958425521850586e-07,2499999999.9999995
27,2455317.98961,0.0,2e-05,,Literature,-1817.0,-5.961814895272255e-05,2499999999.9999995
28,2455336.91673,0.0,2e-05,,Literature,-1700.0,-8.179992437362671e-05,2499999999.9999995
29,2455338.858,0.0,2e-05,,Literature,-1688.0,-5.715200677514076e-05,2499999999.9999995
30,2455340.96098,0.0,2e-05,,Literature,-1675.0,-9.295018389821053e-05,2499999999.9999995
31,2455359.8882,0.0,2e-05,,Literature,-1558.0,-1.5132129192352295e-05,2499999999.9999995
34,2455361.82946,0.0,2e-05,,Literature,-1546.0,-4.838220775127411e-07,2499999999.9999995
35,2455363.77068,0.0,2e-05,,Literature,-1534.0,-2.5836285203695297e-05,2499999999.9999995
36,2455363.93247,0.0,1e-05,,Literature,-1533.0,-6.28223642706871e-06,9999999999.999998
37,2455364.74132,0.0,1e-05,,Literature,-1528.0,-8.512288331985474e-06,9999999999.999998
38,2455364.90312,0.0,1e-05,,Literature,-1527.0,2.1041836589574814e-05,9999999999.999998
39,2455365.71191,0.0,3e-05,,Literature,-1522.0,-4.1188206523656845e-05,1111111111.1111112
40,2455366.8443,0.0,3e-05,,Literature,-1515.0,-4.430999979376793e-05,1111111111.1111112
41,2455367.65321,0.0,3e-05,,Literature,-1510.0,1.3459939509630203e-05,1111111111.1111112
42,2455367.81495,0.0,2e-05,,Literature,-1509.0,-1.6985926777124405e-05,2499999999.9999995
43,2455611.926569,0.0,1e-05,,Literature,-0.0,-1.000240445137024e-06,9999999999.999998
44,2455631.01546,0.0,1e-05,,Literature,118.0,-2.262834459543228e-05,9999999999.999998
45,2455632.95671,0.0,2e-05,,Literature,130.0,-1.7980113625526428e-05,2499999999.9999995
46,2455653.986899,0.0,9e-06,,Literature,260.0,1.3039913028478622e-05,12345679012.345678
47,2455662.88427,0.0,1e-05,,Literature,315.0,9.509734809398651e-06,9999999999.999998
48,2455666.92853,0.0,2e-05,,Literature,340.0,8.360017091035843e-06,2499999999.9999995
49,2455667.89914,0.0,2e-05,,Literature,346.0,-4.316214472055435e-06,2499999999.9999995
50,2455668.86976,0.0,1e-05,,Literature,352.0,-6.991904228925705e-06,9999999999.999998
51,2455670.97274,0.0,1e-05,,Literature,365.0,-4.279008135199547e-05,9999999999.999998
52,2455682.94382,0.0,9e-06,,Literature,439.0,2.4206005036830902e-05,12345679012.345678
53,2455685.85566,0.0,9e-06,,Literature,457.0,-3.822147846221924e-06,12345679012.345678
54,2455690.870566,0.0,9e-06,,Literature,488.0,1.8352176994085312e-05,12345679012.345678
55,2455806.698204,0.0,1e-05,,Literature,1204.0,1.70157290995121e-05,9999999999.999998
56,2455860.567775,0.0,1.2e-05,,Literature,1537.0,2.949777990579605e-05,6944444444.444444
57,2455960.703707,0.0,1e-05,,Literature,2156.0,5.5423472076654434e-05,9999999999.999998
58,2455966.527447,0.0,1e-05,,Literature,2192.0,5.9368088841438293e-05,9999999999.999998
59,2456018.77927,0.0,3e-05,,Literature,2515.0,2.8309877961874008e-05,1111111111.1111112
60,2456018.941,0.0,3e-05,,Literature,2516.0,-1.21360644698143e-05,1111111111.1111112
61,2456021.8529,0.0,2e-05,,Literature,2534.0,1.983577385544777e-05,2499999999.9999995
62,2456022.82355,0.0,2e-05,,Literature,2540.0,4.715984687209129e-05,2499999999.9999995
63,2456022.98527,0.0,1e-05,,Literature,2541.0,-3.286171704530716e-06,9999999999.999998
64,2456023.95593,0.0,1e-05,,Literature,2547.0,3.403797745704651e-05,9999999999.999998
65,2456044.82432,0.0,2e-05,,Literature,2676.0,3.6504119634628296e-05,2499999999.9999995
66,2456045.79496,0.0,1e-05,,Literature,2682.0,5.382811650633812e-05,9999999999.999998
67,2456045.95667,0.0,2e-05,,Literature,2683.0,-6.61797821521759e-06,2499999999.9999995
68,2456046.76555,0.0,1e-05,,Literature,2688.0,2.1152198314666748e-05,9999999999.999998
69,2456046.92729,0.0,2e-05,,Literature,2689.0,-9.294133633375168e-06,2499999999.9999995
70,2456051.78041,0.0,1e-05,,Literature,2719.0,-2.673827111721039e-06,9999999999.999998
71,2456051.94216,0.0,3e-05,,Literature,2720.0,-2.3120082914829254e-05,1111111111.1111112
72,2456052.75104,0.0,1e-05,,Literature,2725.0,4.650093615055084e-06,9999999999.999998
73,2456052.91282,0.0,1e-05,,Literature,2726.0,1.420406624674797e-05,9999999999.999998
74,2456053.88345,0.0,1e-05,,Literature,2732.0,2.1527986973524094e-05,9999999999.999998
